581,56,61,1
757,34,49,0
1144,40,48,0
1421,50,50,0
2434,43,49,0
2737,53,51,0
2772,47,49,0
2948,32,50,0
3564,48,49,0
3710,38,48,0
3950,44,49,0
4005,56,53,0
4145,32,59,1
4207,41,48,0
4232,36,49,0
4659,53,62,1
4683,42,48,0
4866,51,50,0
4962,30,51,0
5144,48,63,1
5167,39,62,1
5203,39,48,0
5545,36,61,1
5590,55,61,1
5747,33,60,1
5755,43,63,1
5776,31,50,0
5836,45,63,1
5969,57,54,0
6119,34,49,0
6215,29,52,0
6295,40,48,0
6569,57,60,1
6837,52,51,0
7092,29,56,1
7359,58,56,0
7393,46,49,0
7494,41,63,1
7542,43,48,0
7786,37,49,0
7862,49,49,0
8019,34,60,1
8224,48,49,0
8294,54,51,0
8350,49,50,0
8539,42,62,1
8636,38,48,0
8692,51,51,0
8832,46,63,1
9485,55,52,0
9768,44,48,0
9819,38,62,1
9834,44,63,1
9966,39,48,0
10032,35,49,0
10046,40,62,1
10129,35,61,1
10139,30,58,1
10198,41,48,0
10310,30,51,0
10334,52,62,1
10454,33,49,0
10534,34,49,0
10535,40,48,0
10614,32,59,1
10764,42,48,0
10996,47,63,1
11108,53,51,0
11123,58,55,0
11150,48,49,0
11308,37,48,0
11518,30,57,1
11572,56,53,0
11670,31,50,0
11984,31,58,1
12192,45,48,0
12192,51,50,0
12406,38,48,0
12471,51,62,1
12528,38,61,1
12869,45,49,0
12940,43,48,0
13235,43,62,1
13249,37,61,1
13347,57,54,0
13367,32,50,0
13475,46,48,0
13799,49,49,0
13813,39,62,1
13885,36,61,1
13956,47,62,1
14055,44,48,0
14106,33,49,0
14218,41,62,1
14223,42,48,0
14263,52,50,0
14279,46,62,1
14431,29,52,0
14454,54,52,0
14850,51,63,1
14933,39,48,0
14945,54,51,0
15085,54,61,1
15215,50,50,0
15389,36,48,0
15566,37,48,0
15607,49,62,1
15673,56,60,1
15697,40,48,0
15727,38,48,0
15765,34,60,1
15911,53,62,1
15964,48,49,0
16086,50,62,1
16102,45,48,0
16138,30,51,0
16191,56,54,0
16259,48,62,1
16544,42,62,1
16687,41,48,0
16702,47,49,0
16959,32,59,1
17055,40,62,1
17109,31,50,0
17121,29,56,1
17171,46,49,0
17257,35,48,0
17427,55,61,1
17585,50,49,0
17950,55,52,0
18093,53,51,0
18151,44,48,0
18175,37,48,0
18307,51,50,0
18391,52,62,1
18489,46,48,0
18671,44,62,1
18694,32,49,0
18785,31,58,1
18801,35,60,1
18828,30,57,1
18829,53,61,1
19035,56,53,0
19772,52,50,0
19853,33,49,0
19932,37,61,1
20629,54,51,0
20690,36,60,1
20879,58,55,0
21009,45,48,0
21063,36,48,0
21166,33,59,1
21247,34,49,0
21315,51,62,1
21370,43,48,0
21648,58,59,1
21756,50,49,0
21826,49,49,0
21863,52,61,1
21869,38,48,0
22101,54,62,1
22226,48,49,0
22430,50,63,1
22770,38,61,1
22781,45,62,1
22842,57,53,0
22953,41,62,1
23045,40,48,0
23192,29,52,0
23246,31,50,0
23443,57,60,1
23484,46,48,0
23484,35,48,0
23846,55,53,0
24075,44,48,0
24086,45,63,1
24142,29,55,1
24152,30,56,1
24183,57,54,0
24187,40,61,1
24279,34,61,1
24294,32,49,0
24384,42,62,1
24458,34,48,0
24648,47,48,0
24691,56,61,1
24980,39,61,1
25077,35,49,0
25205,32,58,1
25442,40,47,0
25459,31,58,1
25904,49,50,0
25975,43,62,1
26215,50,49,0
26313,39,48,0
26360,34,60,1
26503,37,48,0
26845,46,49,0
26863,54,61,1
26872,42,47,0
26953,42,48,0
27014,54,51,0
27195,56,52,0
27390,52,50,0
27416,49,62,1
27418,46,48,0
27586,48,49,0
27600,51,61,1
27635,36,48,0
27643,48,48,0
27803,55,60,1
27916,54,52,0
28128,33,49,0
28166,34,59,1
28585,53,52,0
28859,50,62,1
28859,53,50,0
28876,47,62,1
29005,45,48,0
29042,52,51,0
29298,37,60,1
29536,57,53,0
29792,35,60,1
29852,35,48,0
29871,38,61,1
29884,37,61,1
29941,30,50,0
30009,54,60,1
30134,42,62,1
30245,44,62,1
30499,56,60,1
30591,30,57,1
30659,50,50,0
30912,50,61,1
30921,32,49,0
30943,42,61,1
30947,41,47,0
31065,57,59,1
31134,48,62,1
31356,55,51,0
31480,33,59,1
31549,40,62,1
31683,38,48,0
31721,46,62,1
31782,52,62,1
31954,51,62,1
32135,51,49,0
32213,29,51,0
32394,47,48,0
32444,40,47,0
32934,55,52,0
32996,34,48,0
33619,58,55,0
33919,45,62,1
34117,56,59,1
34129,41,61,1
34277,49,49,0
34329,56,52,0
34651,53,50,0
34756,39,47,0
34809,46,48,0
34844,36,60,1
34979,42,47,0
35004,40,48,0
36020,53,51,0
36042,53,61,1
36084,58,54,0
36310,38,47,0
36340,29,55,1
36778,50,49,0
37036,32,49,0
37159,56,53,0
37217,35,48,0
37278,47,61,1
37453,31,57,1
37628,49,62,1
37775,44,48,0
37842,48,61,1
37854,29,52,0
37987,48,48,0
38175,52,50,0
38221,57,53,0
38416,55,51,0
38417,58,58,1
38479,41,62,1
38635,51,50,0
39062,43,62,1
39063,48,49,0
39347,43,48,0
39600,32,58,1
39898,34,48,0
39931,40,47,0
40074,43,47,0
40279,43,49,0
40706,47,48,0
40889,38,61,1
40939,41,47,0
40946,54,51,0
41246,54,61,1
41651,38,60,1
41740,56,52,0
41761,49,61,1
42227,36,61,1
42670,39,61,1
43125,51,49,0
43198,47,62,1
43504,40,61,1
43576,35,60,1
43692,48,62,1
43794,46,62,1
44013,42,47,0
44027,44,61,1
44073,47,49,0
45144,34,59,1
46362,39,47,0
46372,53,50,0
46400,50,62,1
46405,37,47,0
48027,49,48,0
48498,30,50,0
49153,30,56,1
53118,53,60,1
53545,29,56,1
53904,33,58,1
56835,49,63,1
61156,54,61,0
61676,47,62,0
62144,58,58,0
62311,46,62,0
63607,32,49,1
63815,48,62,0
65222,39,61,0
65849,50,62,0
65990,42,47,1
66112,56,60,0
66183,29,52,1
66548,34,48,1
66606,47,62,0
66717,38,61,0
66717,53,61,0
67157,35,48,1
67365,39,47,1
67428,40,47,1
67456,49,62,0
67655,41,47,1
68049,40,61,0
68224,35,60,0
68249,48,48,1
68871,43,62,0
68917,51,62,0
68926,53,50,1
69244,54,61,0
69308,51,49,1
69439,45,62,0
69767,44,62,0
69838,46,62,0
70028,34,59,0
70405,48,62,0
70405,50,62,0
70504,36,60,0
70947,47,48,1
71746,32,49,1
71977,32,58,0
72180,39,61,0
72251,36,48,1
72746,33,59,0
72827,52,62,0
72992,46,48,1
73304,42,62,0
73377,38,61,0
73501,47,62,0
73551,56,52,1
73696,56,59,0
73764,31,50,1
73832,29,52,1
73894,58,57,0
74111,30,56,0
74243,50,49,1
74354,41,62,0
74355,55,51,1
74439,49,62,0
74491,56,60,0
74718,35,60,0
74847,51,62,0
75092,38,47,1
75384,35,48,1
75450,43,62,0
75597,58,59,0
75643,30,51,1
75956,57,60,0
76090,37,61,0
76322,55,60,0
76478,38,60,0
76507,44,62,0
76629,37,48,1
76657,33,49,1
76669,54,61,0
76781,54,60,0
77103,52,50,1
77143,30,50,1
77212,44,48,1
77376,45,48,1
77468,33,59,0
77539,42,48,1
77639,53,60,0
77649,43,47,1
77661,48,62,0
77662,36,48,1
77725,55,61,0
77781,58,58,0
77960,57,59,0
78323,53,61,0
78353,50,62,0
78358,54,51,1
78434,38,48,1
78611,29,53,1
78806,42,62,0
78998,40,62,0
79015,49,61,0
79072,57,53,1
79247,52,62,0
79294,41,61,0
79369,31,50,1
79628,41,62,0
79720,46,48,1
79801,48,61,0
80019,29,54,1
80118,38,61,0
80179,45,62,0
80220,44,61,0
80253,43,48,1
80258,46,62,0
80605,33,58,0
